source_id,date,description,pollutant_ppm,biological,results
SoRu38078224,7/18/21 11:21,"Inorganic contaminants: Arsenic, Arsenic, Arsenic, Cadmium",9.38705,0,Contaminated: Chemical
AkRu07818224,7/18/21 11:24,Clean,0.0152682,1.54E-05,Clean
KiRu29350224,7/18/21 11:25,Clean,0.0495896,9.43E-05,Clean
SoMa33570224,7/18/21 11:25,Inorganic contaminants: Barium,1.68584,0,Contaminated: Chemical
HaRu20157224,7/18/21 11:28,Bacteria: Giardia Lamblia,0,495.898,Contaminated: Biological
HaRu17690224,7/18/21 11:41,Virus: Hepatitis A Virus,0,96.6341,Contaminated: Biological
KiRu29185224,7/18/21 11:47,Clean,0.0443888,2.56E-05,Clean
KiAm22529224,7/18/21 11:48,"Inorganic contaminants: Zinc, Barium, Arsenic",8.81913,0,Contaminated: Chemical
SoIl32474224,7/18/21 12:07,Clean,0.0492916,4.49E-05,Clean
KiRu27604224,7/18/21 12:33,Clean,0.0204748,4.76E-05,Clean
KiRu27381224,7/18/21 12:33,"Inorganic contaminants: Cadmium, Copper, Zinc, Cadmium",3.88866,0,Contaminated: Chemical
AkRu07213224,7/18/21 13:11,Bacteria: Shigella,0,318.664,Contaminated: Biological
SoCh32186224,7/18/21 13:42,"Inorganic contaminants: Silver, Silver",5.22048,0,Contaminated: Chemical
AkRu04820224,7/18/21 14:00,"Inorganic contaminants: Copper, Zinc, Lead, Arsenic",8.82747,0,Contaminated: Chemical
KiIs23724224,7/18/21 14:01,Clean,0.0352298,3.43E-06,Clean
SoRu35737224,7/18/21 14:03,Bacteria: Salmonella,0,267.371,Contaminated: Biological
AkRu03585224,7/18/21 15:11,Inorganic contaminants: Arsenic,1.35819,0,Contaminated: Chemical
AkRu08045224,7/18/21 15:52,Clean,0.0422505,7.43E-05,Clean
KiRu26605224,7/18/21 15:53,"Inorganic contaminants: Cadmium, Chromium, Lead, Copper",5.83151,0,Contaminated: Chemical
SoRu39237224,7/18/21 16:07,"Inorganic contaminants: Barium, Silver",8.34857,0,Contaminated: Chemical
AmRu15859224,7/19/21 9:10,"Inorganic contaminants: Lead, Arsenic, Silver",2.04771,0,Contaminated: Chemical
KiMr24973224,7/19/21 9:53,"Inorganic contaminants: Chromium, Selenium, Selenium, Silver",7.83503,0,Contaminated: Chemical
KiRu28342224,7/19/21 10:00,Virus: Hepatitis A Virus,0,96.6341,Contaminated: Biological
SoIl32416224,7/19/21 10:31,Clean,0.0589909,6.13E-05,Clean
KiMr24992224,7/19/21 11:14,"Inorganic contaminants: Barium, Chromium, Silver, Silver",5.04416,0,Contaminated: Chemical
KiIs23505224,7/19/21 11:21,"Inorganic contaminants: Silver, Lead, Arsenic, Zinc",3.24812,0,Contaminated: Chemical
AkHa00510224,7/19/21 11:38,Inorganic contaminants: Silver,5.57598,0,Contaminated: Chemical
HaDj16810224,7/19/21 12:45,Bacteria: Vibrio cholerae,0,182.88,Contaminated: Biological
AkRu04454224,7/19/21 13:15,"Inorganic contaminants: Selenium, Copper",4.69804,0,Contaminated: Chemical
HaRu19456224,7/19/21 13:30,Virus: Hepatitis A Virus,0,96.6341,Contaminated: Biological
AmAm09622224,7/19/21 14:07,Virus: Enteroviruses,0,262.668,Contaminated: Biological
KiRu29420224,7/19/21 14:22,Parasite: Cryptosporidium,0,485.162,Contaminated: Biological
HaRu17184224,7/19/21 14:38,"Inorganic contaminants: Mercury, Silver, Selenium, Mercury",4.63008,0,Contaminated: Chemical
HaZa21909224,7/19/21 14:42,Clean,0.0139458,8.34E-05,Clean
KiRu27244224,7/19/21 14:54,Bacteria: E. coli,0,45.3997,Contaminated: Biological
SoRu36266224,7/19/21 15:05,"Inorganic contaminants: Zinc, Zinc, Copper",9.80118,0,Contaminated: Chemical
KiRu27894224,7/19/21 15:15,Inorganic contaminants: Lead,6.42039,0,Contaminated: Chemical
SoRu37867224,7/19/21 15:28,Bacteria: Giardia Lamblia,0,495.898,Contaminated: Biological
KiRu29224224,7/19/21 15:50,"Inorganic contaminants: Chromium, Cadmium, Cadmium, Selenium",4.83544,0,Contaminated: Chemical
AkRu04856224,7/19/21 15:53,Clean,0.0702419,3.32E-05,Clean
AmRu14523224,7/19/21 16:21,Clean,0.0559145,1.58E-05,Clean
KiRu26061224,7/19/21 16:35,"Inorganic contaminants: Barium, Copper, Mercury, Silver",3.4685,0,Contaminated: Chemical
AkRu07743224,7/22/21 9:04,Clean,0.0180536,7.94E-05,Clean
KiMr24269224,7/22/21 9:05,"Inorganic contaminants: Zinc, Chromium",4.10148,0,Contaminated: Chemical
AkRu08249224,7/22/21 9:20,"Inorganic contaminants: Barium, Copper",9.39808,0,Contaminated: Chemical
AmRu14682224,7/22/21 9:29,Clean,0.0106649,4.96E-05,Clean
HaRu19086224,7/22/21 10:06,"Inorganic contaminants: Lead, Selenium",9.99481,0,Contaminated: Chemical
HaDe16541224,7/22/21 10:13,Inorganic contaminants: Barium,2.71065,0,Contaminated: Chemical
KiIs23604224,7/22/21 10:44,Clean,0.0795789,9.64E-06,Clean
AkRu05978224,7/22/21 10:48,"Inorganic contaminants: Zinc, Lead, Copper, Selenium",7.27737,0,Contaminated: Chemical
HaRu17369224,7/22/21 10:50,"Inorganic contaminants: Chromium, Arsenic, Zinc",2.75879,0,Contaminated: Chemical
AkLu01778224,7/22/21 11:26,"Inorganic contaminants: Lead, Silver, Selenium",3.60371,0,Contaminated: Chemical
SoBa31817224,7/22/21 11:42,Clean,0.0742005,9.95E-05,Clean
AkRu06025224,7/22/21 11:54,Clean,0.0885763,6.86E-05,Clean
AmAm09593224,7/22/21 12:29,"Inorganic contaminants: Lead, Copper",6.64374,0,Contaminated: Chemical
SoMa34517224,7/22/21 12:50,Clean,0.0757959,4.43E-05,Clean
SoRu37643224,7/22/21 12:58,Clean,0.0971675,1.60E-05,Clean
HaRu17410224,7/22/21 13:03,"Inorganic contaminants: Chromium, Cadmium",3.82141,0,Contaminated: Chemical
AkRu08478224,7/22/21 13:06,"Inorganic contaminants: Selenium, Mercury",6.4106,0,Contaminated: Chemical
SoRu38447224,7/22/21 13:13,Parasite: Cryptosporidium,0,485.162,Contaminated: Biological
HaRu19133224,7/22/21 13:36,Inorganic contaminants: Silver,8.67662,0,Contaminated: Chemical
SoRu38016224,7/22/21 13:47,Bacteria: Salmonella,0,267.371,Contaminated: Biological
SoRu39642224,7/22/21 13:53,"Inorganic contaminants: Zinc, Selenium, Barium",8.35981,0,Contaminated: Chemical
AkRu08651224,7/22/21 14:02,Clean,0.0735435,4.69E-05,Clean
HaDe16415224,7/22/21 14:03,Virus: Hepatitis A Virus,0,96.6341,Contaminated: Biological
AkLu02498224,7/22/21 15:18,Clean,0.0251442,8.64E-05,Clean
AkRu08789224,7/22/21 15:28,Clean,0.0196013,9.12E-05,Clean
KiRu26258224,7/22/21 16:04,Bacteria: E. coli,0,46.5608,Contaminated: Biological
AmRu13663224,7/22/21 16:54,Clean,0.0536283,9.71E-05,Clean
AkLu02255224,7/23/21 9:06,Clean,0.0562743,1.17E-05,Clean
KiRu30039224,7/23/21 9:29,Clean,0.0417777,6.71E-05,Clean
AmAm09647224,7/23/21 10:17,Clean,0.030066,4.82E-07,Clean
SoRu35394224,7/23/21 10:25,Bacteria: E. coli,0,46.6048,Contaminated: Biological
AmBe11153224,7/23/21 10:27,Bacteria: Shigella,0,318.664,Contaminated: Biological
AmAs10726224,7/23/21 10:50,Clean,0.0844291,1.13E-06,Clean
KiMr25117224,7/23/21 10:54,Parasite: Cryptosporidium,0,485.162,Contaminated: Biological
AkHa00022224,7/23/21 11:05,Clean,0.0463803,4.22E-06,Clean
AkRu07366224,7/23/21 11:19,Bacteria: Giardia Lamblia,0.0969458,26.0308,Contaminated: Biological
KiRu30051224,7/23/21 11:20,"Inorganic contaminants: Copper, Barium",4.67407,0,Contaminated: Chemical
KiRu28021224,7/23/21 12:05,Clean,0.0132443,7.59E-05,Clean
AkRu06520224,7/23/21 12:17,Inorganic contaminants: Copper,5.62707,0,Contaminated: Chemical
KiRu25309224,7/23/21 12:30,Clean,0.0728166,2.64E-05,Clean
AkRu04957224,7/23/21 12:47,Inorganic contaminants: Arsenic,5.52944,0,Contaminated: Chemical
SoRu39616224,7/23/21 13:09,Bacteria: Giardia Lamblia,0,495.898,Contaminated: Biological
HaSe20908224,7/23/21 13:34,Clean,0.0969908,4.44E-06,Clean
KiRu25972224,7/23/21 13:41,Virus: Enteroviruses,0,262.668,Contaminated: Biological
AmAs10230224,7/23/21 13:49,"Inorganic contaminants: Lead, Lead",2.34938,0,Contaminated: Chemical
SoKo33156224,7/23/21 13:53,"Inorganic contaminants: Lead, Arsenic",4.94087,0,Contaminated: Chemical
AkRu03389224,7/23/21 14:48,"Inorganic contaminants: Selenium, Lead, Mercury, Copper",6.99927,0,Contaminated: Chemical
KiHa22926224,7/23/21 14:50,Inorganic contaminants: Mercury,6.14602,0,Contaminated: Chemical
KiRu28474224,7/23/21 14:53,Bacteria: E. coli,0,43.3417,Contaminated: Biological
KiRu25444224,7/23/21 14:55,Bacteria: E. coli,0,26.8939,Contaminated: Biological
SoRu35477224,7/23/21 14:59,Bacteria: Vibrio cholerae,0,182.88,Contaminated: Biological
AmRu13746224,7/23/21 15:22,"Inorganic contaminants: Cadmium, Arsenic",9.92087,0,Contaminated: Chemical
HaRu18252224,7/23/21 15:58,"Inorganic contaminants: Silver, Cadmium, Zinc, Chromium",9.49218,0,Contaminated: Chemical
AkKi01388224,7/23/21 16:16,Virus: Enteroviruses,0,262.668,Contaminated: Biological
SoRu39246224,7/23/21 16:24,Virus: Enteroviruses,0,262.668,Contaminated: Biological
AkRu04353224,7/23/21 16:29,Clean,0.02221,4.29E-05,Clean
HaRu20383224,7/23/21 16:45,"Inorganic contaminants: Selenium, Silver, Lead, Mercury",1.03219,0,Contaminated: Chemical
AkRu07176224,7/23/21 16:48,Inorganic contaminants: Selenium,4.53986,0,Contaminated: Chemical
KiIs24180224,7/24/21 11:04,Inorganic contaminants: Copper,1.69563,0,Contaminated: Chemical
AkRu04628224,7/24/21 11:17,"Inorganic contaminants: Cadmium, Selenium",8.5451,0,Contaminated: Chemical
KiHa23302224,7/24/21 11:26,Clean,0.0730609,1.09E-06,Clean
SoRu37906224,7/24/21 11:34,"Inorganic contaminants: Mercury, Silver, Arsenic",8.76625,0,Contaminated: Chemical
KiRu26928224,7/24/21 12:18,"Inorganic contaminants: Arsenic, Copper, Zinc, Arsenic",6.73867,0,Contaminated: Chemical
AkRu05077224,7/24/21 12:22,"Inorganic contaminants: Cadmium, Silver, Selenium",5.84174,0,Contaminated: Chemical
KiAm22298224,7/24/21 12:41,Bacteria: Giardia Lamblia,0,495.898,Contaminated: Biological
SoRu34927224,7/24/21 13:22,"Inorganic contaminants: Zinc, Cadmium, Zinc",3.03412,0,Contaminated: Chemical
AkRu08343224,7/24/21 13:28,"Inorganic contaminants: Cadmium, Arsenic, Arsenic",4.23786,0,Contaminated: Chemical
AkKi01002224,7/24/21 13:46,Clean,0.0368426,7.68E-05,Clean
AmBe11108224,7/24/21 13:53,"Inorganic contaminants: Barium, Cadmium, Silver, Mercury",7.20256,0,Contaminated: Chemical
AmDa11779224,7/24/21 14:04,"Inorganic contaminants: Lead, Arsenic, Barium",6.46853,0,Contaminated: Chemical
KiHa23445224,7/24/21 14:04,Virus: Enteroviruses,0,262.668,Contaminated: Biological
AkLu02001224,7/24/21 14:32,"Inorganic contaminants: Barium, Chromium, Selenium",3.11327,0,Contaminated: Chemical
KiIs24031224,7/24/21 14:39,Clean,0.013606,8.07E-05,Clean
HaAm16058224,7/24/21 14:54,Bacteria: E. coli,0,4.44435,Contaminated: Biological
AmRu14945224,7/24/21 15:56,Clean,0.0485726,7.32E-05,Clean
AkLu01893224,7/24/21 16:31,Bacteria: E. coli,0,41.5402,Contaminated: Biological
HaRu19172224,7/25/21 9:02,Inorganic contaminants: Cadmium,5.21814,0,Contaminated: Chemical
HaRu19504224,7/25/21 10:03,Bacteria: Shigella,0,318.664,Contaminated: Biological
SoRu39182224,7/25/21 10:50,"Inorganic contaminants: Silver, Lead, Mercury",3.27146,0,Contaminated: Chemical
HaAm16113224,7/25/21 11:12,"Inorganic contaminants: Cadmium, Copper",8.33863,0,Contaminated: Chemical
SoRu37571224,7/25/21 11:43,"Inorganic contaminants: Copper, Selenium, Chromium",2.09715,0,Contaminated: Chemical
KiRu30354224,7/25/21 12:12,Bacteria: Vibrio cholerae,0,182.88,Contaminated: Biological
AkRu04166224,7/25/21 12:37,"Inorganic contaminants: Lead, Mercury",3.59287,0,Contaminated: Chemical
KiAm22005224,7/25/21 13:35,Inorganic contaminants: Chromium,1.03375,0,Contaminated: Chemical
KiRu28722224,7/25/21 13:37,Clean,0.0751993,2.40E-05,Clean
AkRu06486224,7/25/21 13:38,Clean,0.0338635,1.58E-07,Clean
AmRu15351224,7/25/21 14:09,Clean,0.0166247,2.89E-05,Clean
SoRu36383224,7/25/21 14:18,"Inorganic contaminants: Cadmium, Zinc, Barium, Copper",5.41499,0,Contaminated: Chemical
SoRu39433224,7/25/21 14:21,Clean,0.0138924,4.39E-05,Clean
KiRu26153224,7/25/21 14:29,"Inorganic contaminants: Barium, Cadmium",3.79444,0,Contaminated: Chemical
AkKi00814224,7/25/21 15:02,Virus: Hepatitis A Virus,0,96.6341,Contaminated: Biological
SoRu36352224,7/25/21 15:11,"Inorganic contaminants: Barium, Lead, Barium",1.99886,0,Contaminated: Chemical
AkRu08000224,7/25/21 15:34,Clean,0.0965025,3.31E-05,Clean
KiAm22297224,7/25/21 16:29,"Inorganic contaminants: Lead, Silver, Cadmium",2.65414,0,Contaminated: Chemical
KiAm22328224,7/26/21 9:10,Clean,0.0821268,3.34E-05,Clean
KiMr24332224,7/26/21 9:14,Virus: Enteroviruses,0,262.668,Contaminated: Biological
AkRu03707224,7/26/21 9:36,Clean,0.076986,6.80E-05,Clean
KiRu29549224,7/26/21 9:46,Bacteria: Giardia Lamblia,0,495.898,Contaminated: Biological
HaRu18136224,7/26/21 10:17,"Inorganic contaminants: Selenium, Barium, Selenium, Copper",5.93205,0,Contaminated: Chemical
KiMr24676224,7/26/21 10:21,Inorganic contaminants: Silver,3.4721,0,Contaminated: Chemical
SoIl32340224,7/26/21 10:27,Bacteria: E. coli,0,44.3678,Contaminated: Biological
AkHa00767224,7/26/21 10:38,Bacteria: E. coli,0,47.2184,Contaminated: Biological
SoRu38601224,7/26/21 10:57,"Inorganic contaminants: Copper, Arsenic",7.53797,0,Contaminated: Chemical
KiRu30263224,7/26/21 10:58,Bacteria: E. coli,0,2.98881,Contaminated: Biological
HaRu17186224,7/26/21 11:11,Inorganic contaminants: Zinc,7.37472,0,Contaminated: Chemical
HaRu18495224,7/26/21 11:37,Inorganic contaminants: Mercury,7.14386,0,Contaminated: Chemical
KiRu25632224,7/26/21 11:39,"Inorganic contaminants: Zinc, Cadmium, Arsenic, Cadmium",3.49974,0,Contaminated: Chemical
AkHa00217224,7/26/21 11:48,"Inorganic contaminants: Lead, Silver, Barium, Zinc",2.54566,0,Contaminated: Chemical
AkHa00106224,7/26/21 11:49,"Inorganic contaminants: Selenium, Chromium, Selenium",7.47288,0,Contaminated: Chemical
KiAm22568224,7/26/21 12:02,"Inorganic contaminants: Lead, Selenium",2.39403,0,Contaminated: Chemical
AkRu03328224,7/26/21 13:15,Inorganic contaminants: Arsenic,1.44474,0,Contaminated: Chemical
HaRu19145224,7/26/21 13:56,"Inorganic contaminants: Copper, Silver, Selenium",7.49796,0,Contaminated: Chemical
KiRu30670224,7/26/21 14:10,Inorganic contaminants: Selenium,8.66959,0,Contaminated: Chemical
SoMa34391224,7/26/21 15:00,"Inorganic contaminants: Cadmium, Barium, Cadmium",1.48491,0,Contaminated: Chemical
KiRu29474224,7/26/21 15:14,"Inorganic contaminants: Zinc, Selenium",4.39334,0,Contaminated: Chemical
AmRu13708224,7/26/21 15:33,Inorganic contaminants: Chromium,7.68849,0,Contaminated: Chemical
AkRu04704224,7/26/21 15:37,Clean,0.0523956,3.99E-05,Clean
HaRu20454224,7/26/21 15:50,Parasite: Cryptosporidium,0,485.162,Contaminated: Biological
SoRu36813224,7/26/21 15:56,Bacteria: Vibrio cholerae,0,182.88,Contaminated: Biological
KiRu27399224,7/26/21 15:58,Virus: Hepatitis A Virus,0,96.6341,Contaminated: Biological
AkRu05811224,7/26/21 16:09,Clean,0.0614552,9.53E-05,Clean
AkRu08627224,7/26/21 16:20,Clean,0.0565693,5.71E-05,Clean
SoRu35427224,7/29/21 9:02,Bacteria: E. coli,0,23.2888,Contaminated: Biological
KiRu28930224,7/29/21 9:05,"Inorganic contaminants: Zinc, Arsenic",6.72083,0,Contaminated: Chemical
SoBa31495224,7/29/21 9:15,"Inorganic contaminants: Zinc, Selenium, Chromium, Silver",3.99838,0,Contaminated: Chemical
AkRu05108224,7/29/21 9:26,Clean,0.0926853,9.92E-05,Clean
SoRu36639224,7/29/21 9:27,Clean,0.0215218,2.50E-05,Clean
AkRu08558224,7/29/21 9:43,"Inorganic contaminants: Cadmium, Zinc, Mercury, Zinc",2.93269,0,Contaminated: Chemical
HaRu17542224,7/29/21 9:44,Clean,0.0335635,2.75E-05,Clean
HaRu20601224,7/29/21 10:42,"Inorganic contaminants: Cadmium, Zinc, Selenium",8.69631,0,Contaminated: Chemical
AkRu04671224,7/29/21 11:09,"Inorganic contaminants: Zinc, Zinc",5.91771,0,Contaminated: Chemical
AkRu06932224,7/29/21 11:11,Inorganic contaminants: Barium,6.90983,0,Contaminated: Chemical
HaRu20128224,7/29/21 11:35,Clean,0.0349706,6.22E-05,Clean
KiHa23243224,7/29/21 11:38,Parasite: Cryptosporidium,0,485.162,Contaminated: Biological
SoRu36419224,7/29/21 11:50,Bacteria: E. coli,0,7.47733,Contaminated: Biological
AkRu07353224,7/29/21 12:00,Virus: Enteroviruses,0,262.668,Contaminated: Biological
AmAm09532224,7/29/21 12:02,Clean,0.0952872,2.86E-05,Clean
KiRu26935224,7/29/21 12:52,Clean,0.0973574,5.65E-05,Clean
KiRu26813224,7/29/21 13:01,Clean,0.0819716,9.65E-05,Clean
KiRu27572224,7/29/21 13:06,Bacteria: Vibrio cholerae,0,182.88,Contaminated: Biological
HaRu18562224,7/29/21 13:07,"Inorganic contaminants: Chromium, Copper, Copper, Copper",7.34729,0,Contaminated: Chemical
AkHa00073224,7/29/21 13:12,Clean,0.0113271,1.32E-05,Clean
AkRu02712224,7/29/21 13:20,Clean,0.0903025,7.66E-05,Clean
AkRu07861224,7/29/21 13:45,Clean,0.0116795,4.34E-05,Clean
HaRu18592224,7/29/21 14:13,Bacteria: Shigella,0,318.664,Contaminated: Biological
AkHa00576224,7/29/21 14:21,Virus: Enteroviruses,0,262.668,Contaminated: Biological
AkRu05558224,7/29/21 14:23,"Inorganic contaminants: Copper, Chromium",3.98628,0,Contaminated: Chemical
AkRu04842224,7/29/21 14:52,Clean,0.0131523,8.71E-05,Clean
SoRu39043224,7/29/21 15:23,Bacteria: Vibrio cholerae,0,182.88,Contaminated: Biological
HaRu18138224,7/29/21 15:52,Bacteria: Salmonella,0,267.371,Contaminated: Biological
AmRu13129224,7/29/21 16:15,"Inorganic contaminants: Silver, Silver, Lead, Silver",8.03613,0,Contaminated: Chemical
KiAm22322224,7/29/21 16:31,"Inorganic contaminants: Silver, Selenium, Lead",7.09441,0,Contaminated: Chemical
SoRu35064224,7/29/21 16:51,Virus: Hepatitis A Virus,0,96.6341,Contaminated: Biological
KiAm22548224,7/29/21 16:52,"Inorganic contaminants: Arsenic, Barium",4.46422,0,Contaminated: Chemical
HaYa21608224,7/29/21 16:55,Inorganic contaminants: Silver,9.90809,0,Contaminated: Chemical
KiMr24608224,7/30/21 9:01,Bacteria: E. coli,0,17.5204,Contaminated: Biological
SoRu39632224,7/30/21 9:30,Inorganic contaminants: Copper,4.04278,0,Contaminated: Chemical
AkRu08422224,7/30/21 9:30,"Inorganic contaminants: Lead, Mercury, Copper",7.38987,0,Contaminated: Chemical
SoRu38412224,7/30/21 9:41,Bacteria: Giardia Lamblia,0,495.898,Contaminated: Biological
AkRu06266224,7/30/21 9:45,Inorganic contaminants: Barium,9.39758,0,Contaminated: Chemical
HaYa21400224,7/30/21 9:46,"Inorganic contaminants: Zinc, Mercury",9.79014,0,Contaminated: Chemical
AkRu03131224,7/30/21 9:49,Inorganic contaminants: Lead,2.53992,0,Contaminated: Chemical
KiRu26508224,7/30/21 10:23,Virus: Hepatitis A Virus,0,96.6341,Contaminated: Biological
HaRu19718224,7/30/21 10:53,"Inorganic contaminants: Barium, Mercury, Silver",6.75685,0,Contaminated: Chemical
HaRu17663224,7/30/21 11:10,Bacteria: E. coli,0,15.1699,Contaminated: Biological
SoRu38980224,7/30/21 11:18,Inorganic contaminants: Lead,9.1461,0,Contaminated: Chemical
AmAm09988224,7/30/21 11:23,Clean,0.0476265,5.19E-06,Clean
KiMr24380224,7/30/21 12:43,Bacteria: Vibrio cholerae,0,182.88,Contaminated: Biological
SoMa34343224,7/30/21 13:15,Bacteria: Giardia Lamblia,0,495.898,Contaminated: Biological
AmAm09605224,7/30/21 13:26,Bacteria: Giardia Lamblia,0,495.898,Contaminated: Biological
KiRu27153224,7/30/21 13:43,Inorganic contaminants: Barium,3.03262,0,Contaminated: Chemical
AkRu07317224,7/30/21 14:03,Inorganic contaminants: Cadmium,3.43258,0,Contaminated: Chemical
AmDa12192224,7/30/21 14:18,Clean,0.0260273,6.47E-05,Clean
AkRu03182224,7/30/21 14:37,Clean,0.073169,8.12E-06,Clean
AkRu04729224,7/30/21 14:44,"Inorganic contaminants: Cadmium, Barium",3.86378,0,Contaminated: Chemical
AkKi01423224,7/30/21 14:57,Bacteria: E. coli,0.012334,4.75647,Contaminated: Biological
HaRu17909224,7/30/21 16:37,Clean,0.0202175,7.53E-06,Clean
KiRu29743224,7/30/21 16:55,"Inorganic contaminants: Cadmium, Barium, Barium, Barium",8.38683,0,Contaminated: Chemical
HaRu17563224,7/30/21 16:57,Inorganic contaminants: Arsenic,5.01611,0,Contaminated: Chemical
KiHa22676224,7/31/21 9:13,"Inorganic contaminants: Lead, Lead, Arsenic, Silver",5.78078,0,Contaminated: Chemical
AkLu01866224,7/31/21 10:11,"Inorganic contaminants: Chromium, Cadmium",4.6934,0,Contaminated: Chemical
SoRu34656224,7/31/21 11:07,Bacteria: E. coli,0,23.2884,Contaminated: Biological
AkRu08180224,7/31/21 11:09,Inorganic contaminants: Zinc,7.49565,0,Contaminated: Chemical
AmRu13583224,7/31/21 11:22,Clean,0.0139442,9.85E-05,Clean
SoRu36032224,7/31/21 11:22,Parasite: Cryptosporidium,0,485.162,Contaminated: Biological
KiRu29055224,7/31/21 11:35,"Inorganic contaminants: Barium, Zinc",4.85433,0,Contaminated: Chemical
AkLu02477224,7/31/21 12:04,Inorganic contaminants: Arsenic,3.75531,0,Contaminated: Chemical
AkRu06081224,7/31/21 12:09,"Inorganic contaminants: Zinc, Chromium",7.6657,0,Contaminated: Chemical
AkLu02060224,7/31/21 12:34,Bacteria: E. coli,0,20.9322,Contaminated: Biological
KiRu27160224,7/31/21 13:19,Bacteria: E. coli,0,34.7958,Contaminated: Biological
KiAm22592224,7/31/21 13:24,"Inorganic contaminants: Mercury, Silver, Mercury, Barium",8.49588,0,Contaminated: Chemical
HaZa21637224,7/31/21 13:57,"Inorganic contaminants: Copper, Selenium, Barium",2.14064,0,Contaminated: Chemical
HaRu17124224,7/31/21 14:32,"Inorganic contaminants: Silver, Barium",7.44805,0,Contaminated: Chemical
SoMa33841224,7/31/21 15:06,Bacteria: E. coli,0,11.1825,Contaminated: Biological
HaDj16918224,7/31/21 15:58,"Inorganic contaminants: Copper, Arsenic, Zinc",8.20281,0,Contaminated: Chemical
SoRu37226224,7/31/21 16:29,Clean,0.0935673,7.01E-05,Clean
AkHa00081224,7/31/21 16:30,Bacteria: Giardia Lamblia,0,495.898,Contaminated: Biological
SoRu34665224,7/31/21 16:55,"Inorganic contaminants: Selenium, Copper, Silver, Cadmium",8.23492,0,Contaminated: Chemical
HaRu19372224,8/1/21 9:05,Bacteria: Salmonella,0,267.371,Contaminated: Biological
HaSe20928224,8/1/21 9:06,Clean,0.0661941,5.47E-05,Clean
AmRu12800224,8/1/21 9:19,Clean,0.0470161,6.34E-05,Clean
AkRu07323224,8/1/21 9:49,"Inorganic contaminants: Chromium, Zinc, Mercury, Mercury",5.80569,0,Contaminated: Chemical
AkRu07814224,8/1/21 10:20,Parasite: Cryptosporidium,0,485.162,Contaminated: Biological
HaSe21285224,8/1/21 10:44,Clean,0.0766765,5.28E-05,Clean
SoRu39162224,8/1/21 11:53,Bacteria: E. coli,0,1.52488,Contaminated: Biological
SoMa33601224,8/1/21 12:37,Clean,0.098039,7.40E-05,Clean
SoIl32620224,8/1/21 13:07,Clean,0.0413943,1.13E-05,Clean
KiRu26072224,8/1/21 13:30,Inorganic contaminants: Selenium,9.61919,0,Contaminated: Chemical
HaDj16781224,8/1/21 13:39,Bacteria: Vibrio cholerae,0,182.88,Contaminated: Biological
SoCh32108224,8/1/21 13:44,Bacteria: Salmonella,0,267.371,Contaminated: Biological
HaRu20111224,8/1/21 13:55,"Inorganic contaminants: Selenium, Zinc, Selenium",8.17766,0,Contaminated: Chemical
SoMa33880224,8/1/21 14:24,Clean,0.0247885,3.46E-05,Clean
SoBa31436224,8/1/21 14:30,Inorganic contaminants: Mercury,4.52522,0,Contaminated: Chemical
SoRu36553224,8/1/21 14:36,Bacteria: E. coli,0,24.077,Contaminated: Biological
HaAm15959224,8/1/21 14:40,Bacteria: Shigella,0,318.664,Contaminated: Biological
AkKi01570224,8/1/21 14:47,Clean,0.0251503,3.91E-05,Clean
SoMa33573224,8/1/21 14:52,Virus: Hepatitis A Virus,0,96.6341,Contaminated: Biological
KiRu29110224,8/1/21 15:10,"Inorganic contaminants: Cadmium, Mercury, Silver",8.00755,0,Contaminated: Chemical
AkRu03716224,8/1/21 15:16,Clean,0.0659252,9.18E-05,Clean
KiHa23270224,8/1/21 15:36,Clean,0.0596043,4.17E-05,Clean
SoCh32217224,8/1/21 15:39,Bacteria: Vibrio cholerae,0,182.88,Contaminated: Biological
AkRu08184224,8/1/21 15:42,Bacteria: Salmonella,0,267.371,Contaminated: Biological
SoRu38699224,8/1/21 16:25,Clean,0.0956383,3.32E-05,Clean
SoRu39429224,8/1/21 16:26,Virus: Hepatitis A Virus,0,96.6341,Contaminated: Biological
SoRu35060224,8/1/21 16:54,Inorganic contaminants: Zinc,7.55809,0,Contaminated: Chemical
HaRu17467224,8/1/21 16:58,"Inorganic contaminants: Silver, Lead, Chromium, Arsenic",8.59615,0,Contaminated: Chemical
HaAm16179224,8/2/21 9:05,"Inorganic contaminants: Copper, Lead",8.01357,0,Contaminated: Chemical
HaSe20912224,8/2/21 9:14,Clean,0.0625704,4.10E-05,Clean
KiAm22420224,8/2/21 9:37,"Inorganic contaminants: Copper, Zinc, Cadmium, Copper",8.25248,0,Contaminated: Chemical
SoRu37396224,8/2/21 10:00,"Inorganic contaminants: Arsenic, Barium, Arsenic, Silver",3.96561,0,Contaminated: Chemical
AkRu04086224,8/2/21 10:25,Clean,0.044235,5.05E-06,Clean
HaRu17318224,8/2/21 10:25,Clean,0.0784742,2.40E-06,Clean
SoKo33446224,8/2/21 10:50,Clean,0.0331211,9.69E-05,Clean
AkRu08381224,8/2/21 11:31,Clean,0.0648988,7.71E-05,Clean
AkRu08525224,8/2/21 11:49,"Inorganic contaminants: Arsenic, Mercury, Copper, Chromium",3.54185,0,Contaminated: Chemical
AmAm09621224,8/2/21 12:33,Parasite: Cryptosporidium,0,485.162,Contaminated: Biological
